Date,發行量加權股價報酬指數
1994/9/16,"6,609.24"
1994/9/19,"6,615.40"
1994/9/20,"6,691.92"
1994/9/21,"6,650.43"
1994/9/22,"6,546.06"
1994/9/23,"6,495.10"
1994/9/26,"6,500.21"
1994/9/27,"6,516.48"
1994/9/28,"6,501.50"
1994/9/29,"6,596.00"
1994/9/30,"6,715.21"
1994/10/3,"6,721.04"
1994/10/4,"6,741.05"
1994/10/5,"6,733.25"
1994/10/6,"6,690.52"
1994/10/7,"6,675.20"
1994/10/11,"6,658.46"
1994/10/12,"6,571.54"
1994/10/13,"6,541.60"
1994/10/14,"6,551.45"
1994/10/17,"6,394.71"
1994/10/18,"6,399.67"
1994/10/19,"6,249.77"
1994/10/20,"6,308.87"
1994/10/21,"6,298.72"
1994/10/24,"6,275.17"
1994/10/25,"6,279.60"
1994/10/26,"6,257.09"
1994/10/27,"6,213.69"
1994/10/28,"6,182.73"
1994/10/31,"6,326.87"
1994/11/1,"6,364.31"
1994/11/2,"6,443.29"
1994/11/3,"6,429.73"
1994/11/4,"6,488.71"
1994/11/7,"6,432.34"
1994/11/8,"6,420.53"
1994/11/9,"6,553.81"
1994/11/10,"6,572.82"
1994/11/11,"6,668.19"
1994/11/14,"6,677.35"
1994/11/15,"6,619.32"
1994/11/16,"6,636.29"
1994/11/17,"6,608.61"
1994/11/18,"6,702.79"
1994/11/21,"6,699.14"
1994/11/22,"6,650.59"
1994/11/23,"6,721.23"
1994/11/24,"6,708.47"
1994/11/25,"6,726.38"
1994/11/28,"6,809.39"
1994/11/29,"6,738.79"
1994/11/30,"6,808.99"
1994/12/1,"6,783.03"
1994/12/2,"6,836.96"
1994/12/5,"6,967.97"
1994/12/6,"6,970.39"
1994/12/7,"6,947.35"
1994/12/8,"6,859.18"
1994/12/9,"6,875.82"
1994/12/12,"6,877.95"
1994/12/13,"6,872.34"
1994/12/14,"6,843.99"
1994/12/15,"6,869.36"
1994/12/16,"6,970.58"
1994/12/19,"7,059.20"
1994/12/20,"7,055.27"
1994/12/21,"7,103.61"
1994/12/22,"7,043.59"
1994/12/23,"7,148.49"
1994/12/26,"7,172.80"
1994/12/27,"7,169.31"
1994/12/28,"7,161.42"
1994/12/29,"7,217.54"
1994/12/30,"7,187.69"
1995/1/2,"7,092.99"
1995/1/3,"7,235.36"
1995/1/4,"7,262.44"
1995/1/5,"7,365.00"
1995/1/6,"7,348.47"
1995/1/9,"7,400.69"
1995/1/10,"7,362.28"
1995/1/11,"7,393.55"
1995/1/12,"7,382.27"
1995/1/13,"7,334.78"
1995/1/16,"7,380.70"
1995/1/17,"7,366.28"
1995/1/18,"7,133.45"
1995/1/19,"7,148.13"
1995/1/20,"7,119.96"
1995/1/23,"7,005.08"
1995/1/24,"7,081.88"
1995/1/25,"7,169.96"
1995/2/3,"7,238.47"
1995/2/6,"7,376.07"
1995/2/7,"7,376.20"
1995/2/8,"7,270.87"
1995/2/9,"7,277.47"
1995/2/10,"7,238.82"
1995/2/13,"7,203.01"
1995/2/14,"7,258.63"
1995/2/15,"7,242.74"
1995/2/16,"7,336.52"
1995/2/17,"7,325.35"
1995/2/20,"7,339.40"
1995/2/21,"7,278.99"
1995/2/22,"7,168.34"
1995/2/23,"7,106.85"
1995/2/24,"7,176.59"
1995/2/27,"7,202.28"
1995/3/1,"7,259.09"
1995/3/2,"7,291.55"
1995/3/3,"7,193.53"
1995/3/6,"7,217.82"
1995/3/7,"7,128.22"
1995/3/8,"7,090.26"
1995/3/9,"7,119.79"
1995/3/10,"7,124.40"
1995/3/13,"7,183.62"
1995/3/14,"7,090.74"
1995/3/15,"7,155.16"
1995/3/16,"7,140.10"
1995/3/17,"7,165.99"
1995/3/20,"7,152.76"
1995/3/21,"7,088.57"
1995/3/22,"7,015.27"
1995/3/23,"6,986.01"
1995/3/24,"6,999.20"
1995/3/27,"7,048.85"
1995/3/28,"7,083.98"
1995/3/29,"7,132.47"
1995/3/30,"7,185.19"
1995/3/31,"7,259.73"
1995/4/3,"7,311.09"
1995/4/4,"7,316.40"
1995/4/6,"7,420.92"
1995/4/7,"7,444.10"
1995/4/10,"7,442.67"
1995/4/11,"7,416.92"
1995/4/12,"7,473.25"
1995/4/13,"7,525.11"
1995/4/14,"7,631.36"
1995/4/17,"7,683.55"
1995/4/18,"7,671.88"
1995/4/19,"7,726.02"
1995/4/20,"7,796.22"
1995/4/21,"7,785.59"
1995/4/24,"7,788.86"
1995/4/25,"7,749.24"
1995/4/26,"7,868.93"
1995/4/27,"7,832.96"
1995/4/28,"7,872.00"
1995/5/2,"7,902.54"
1995/5/3,"7,949.49"
1995/5/4,"8,062.18"
1995/5/5,"8,090.05"
1995/5/8,"8,203.78"
1995/5/9,"8,110.37"
1995/5/10,"8,039.86"
1995/5/11,"8,080.19"
1995/5/12,"7,989.65"
1995/5/15,"7,877.02"
1995/5/16,"7,760.18"
1995/5/17,"7,811.69"
1995/5/18,"7,721.62"
1995/5/19,"7,765.66"
1995/5/22,"7,616.48"
1995/5/23,"7,512.99"
1995/5/24,"7,549.25"
1995/5/25,"7,532.61"
1995/5/26,"7,552.21"
1995/5/29,"7,551.52"
1995/5/30,"7,516.47"
1995/6/1,"7,545.03"
1995/6/2,"7,640.32"
1995/6/5,"7,372.05"
1995/6/6,"7,388.52"
1995/6/7,"7,259.50"
1995/6/8,"6,951.25"
1995/6/9,"7,075.10"
1995/6/12,"7,073.58"
1995/6/13,"6,962.88"
1995/6/14,"7,107.76"
1995/6/15,"7,061.75"
1995/6/16,"7,228.56"
1995/6/19,"7,236.56"
1995/6/20,"7,022.50"
1995/6/21,"6,952.85"
1995/6/22,"7,158.80"
1995/6/23,"7,122.55"
1995/6/26,"7,201.73"
1995/6/27,"7,256.56"
1995/6/28,"7,222.54"
1995/6/29,"7,299.02"
1995/6/30,"7,406.68"
1995/7/3,"7,422.82"
1995/7/4,"7,443.03"
1995/7/5,"7,373.22"
1995/7/6,"7,376.61"
1995/7/7,"7,378.61"
1995/7/10,"7,403.56"
1995/7/11,"7,364.36"
1995/7/12,"7,360.18"
1995/7/13,"7,295.53"
1995/7/14,"7,140.77"
1995/7/17,"6,952.55"
1995/7/18,"7,004.40"
1995/7/19,"6,997.04"
1995/7/20,"7,195.13"
1995/7/21,"7,169.42"
1995/7/24,"7,104.49"
1995/7/25,"7,161.35"
1995/7/26,"7,166.49"
1995/7/27,"7,262.52"
1995/7/28,"7,288.26"
1995/7/31,"7,260.48"
1995/8/1,"7,263.98"
